index,key,title,year,doi,status,file,source,note
1,Bailey1952,"A Study of Queues and Appointment Systems in Hospital Out-Patient Departments, with Special Reference to Waiting-Times",1952,10.1111/j.2517-6161.1952.tb00112.x,no_oa_pdf,,https://openalex.org/W2904285679,No open-access PDF URL reported by OpenAlex
2,CayirliVeral2003,Outpatient Scheduling in Health Care: A Review of Literature,2003,10.1111/j.1937-5956.2003.tb00218.x,no_oa_pdf,,https://openalex.org/W2007261666,No open-access PDF URL reported by OpenAlex
3,DentonGupta2003,A Sequential Bounding Approach for Optimal Appointment Scheduling,2003,10.1080/07408170304395,no_oa_pdf,,https://openalex.org/W2160644054,No open-access PDF URL reported by OpenAlex
4,RobinsonChen2003,Scheduling Doctors' Appointments: Optimal and Empirically-Based Heuristic Policies,2003,10.1080/07408170304367,no_oa_pdf,,https://openalex.org/W2095155399,No open-access PDF URL reported by OpenAlex
5,KlassenYoogalingam2009,Improving Performance in Outpatient Appointment Services with a Simulation Optimization Approach,2009,10.1111/j.1937-5956.2009.01021.x,no_oa_pdf,,https://openalex.org/W2002827621,No open-access PDF URL reported by OpenAlex
6,GuptaDenton2008,Appointment Scheduling in Health Care: Challenges and Opportunities,2008,10.1080/07408170802165880,no_oa_pdf,,https://openalex.org/W2078724364,No open-access PDF URL reported by OpenAlex
7,Hulshof2012,Taxonomic Classification of Planning Decisions in Health Care: A Structured Review of the State of the Art in OR/MS,2012,10.1057/hs.2012.18,no_oa_pdf,,https://openalex.org/W2097407375,No open-access PDF URL reported by OpenAlex
8,AhmadiJavid2017,Outpatient Appointment Systems in Healthcare: A Review of Optimization Studies,2017,10.1016/j.ejor.2016.06.064,no_oa_pdf,,https://openalex.org/W2472113677,No open-access PDF URL reported by OpenAlex
9,FetterThompson1966,Patients' Waiting Time and Doctors' Idle Time in the Outpatient Setting,1966,,download_failed,,https://openalex.org/W48589172,"https://pmc.ncbi.nlm.nih.gov/articles/PMC1067302/pdf/hsresearch00589-0068.pdf => not-pdf:b'\n\n\n\n<html>\n  <head>\n    <meta name=""view'"
10,KuiperDeMastMandjes2021,The Problem of Appointment Scheduling in Outpatient Clinics: A Multiple Case Study of Clinical Practice,2021,10.1016/j.omega.2019.102122,no_oa_pdf,,https://openalex.org/W2973338571,No open-access PDF URL reported by OpenAlex
11,LaanVanDeVrugtOlsmanBoucherie2018,Static and Dynamic Appointment Scheduling to Improve Patient Access Time,2018,10.1080/20476965.2017.1403675,download_failed,,https://research.utwente.nl/en/publications/06986a4d-f7c7-4a56-a6d2-1d4b66abad32,"OA PDF identified at Twente/Taylor & Francis, but direct PDF requests returned Cloudflare/403 HTML, not PDF"
12,SalzaruloBretthauerCoteSchultz2011,The Impact of Variability and Patient Information on Health Care System Performance,2011,10.1111/j.1937-5956.2010.01210.x,no_oa_pdf,,https://openalex.org/W1916988861,No open-access PDF URL reported by OpenAlex
13,ChandMoskowitzNorrisShadeWillis2009,Improving Patient Flow at an Outpatient Clinic: Study of Sources of Variability and Improvement Factors,2009,10.1007/s10729-008-9094-3,no_oa_pdf,,https://openalex.org/W2013008606,No open-access PDF URL reported by OpenAlex
14,BalasubramanianBiehlDaiMuriel2014,Dynamic Allocation of Same-Day Requests in Multi-Physician Primary Care Practices in the Presence of Prescheduled Appointments,2014,10.1007/s10729-013-9242-2,no_oa_pdf,,https://openalex.org/W2075603237,No open-access PDF URL reported by OpenAlex
15,DaiGengXie2021,Dynamic Advance Scheduling of Outpatient Appointments in a Moving Booking Window,2021,10.1016/j.ejor.2020.11.030,no_oa_pdf,,https://openalex.org/W3110565944,No open-access PDF URL reported by OpenAlex
16,ZhangShenErdogan2017,Distributionally Robust Appointment Scheduling with Moment-Based Ambiguity Set,2017,10.1016/j.orl.2017.01.010,no_oa_pdf,,https://openalex.org/W2583892349,No open-access PDF URL reported by OpenAlex
17,Ross2014,Introduction to Probability Models,2014,10.2307/2983433,no_oa_pdf,,https://openalex.org/W2322524800,No open-access PDF URL reported by OpenAlex
